NR CRT,NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
11,"Autogara Alba Iulia","Alba Iulia","Public Transport","Preparatele bucătăriei Restaurantului La Dolce Vita sunt bogate prin diversitatea felurilor de mâncare şi reţete tradiţionale vechi, făcute din lucruri simple, dar gustoase şi consistente. Renumele bucătăriei Restaurantului La Dolce Vita este dat de varietatea pastelor făcute în casă: tagliatele, tortelini, ravioli, farfale, strozzapreti, toate diferite, realizate cu ingrediente simple, făină de grâu, ouă proaspete, lucrate, tăiate şi modelate manual. De asemenea, există nenumărate reţete de carne de porc, pui, mânzat, iepure, peşte, fructe de mare, pregătite în diferite variante, dar mereu respectând valoarea simplităţii şi autenticităţii, pentru a spori gustul ?i aroma acestora, a?adar? Bine a?i venit La Dolce Vita.","Alba",46.05799,23.57612,0
12,"LIDL Alba Iulia","Sibiu","Food & Drink","cauta produse precum bere, tv, mobila, scutece","Alba",45.7928,24.13049,0
13,"La Dolce Vita Alba-Iulia","Strada Bucovinei 4 510097 Alba Iulia","Restaurant","The Apuseni Mountains (Romanian: Munţii Apuseni, Hungarian: Erdelyi-kozephegyseg) is a mountain range in Transylvania, Romania, which belongs to the Western Romanian Carpathians, also called Occidentali in Romanian. Their name translates from Romanian as Mountains of the sunset i.e. western. The highest peak is Cucurbata Mare (Hungarian: Nagy-Bihar) at 1849 metres, also called Bihor Peak. The Apuseni Mountains have about 400 caves.","Alba",46.07172,23.57844,0
14,"The city of Alba Iulia.","Alba, Romania","Attraction","Alba County (Romanian pronunciation:[alba]) is a county (judeţ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",46.043785538461535,23.613401153846155,0
15,"The Apuseni Mountains.","Alba, Romania","Attraction","The Apuseni Mountains (Romanian: Munții Apuseni, Hungarian: Erdélyi-középhegység) is a mountain range in Transylvania, Romania, which belongs to the Western Romanian Carpathians, also called Occidentali in Romanian. Their name translates from Romanian as Mountains of the sunset i.e. western. The highest peak is Cucurbăta Mare (Hungarian: Nagy-Bihar) at 1849 metres, also called Bihor Peak. The Apuseni Mountains have about 400 caves.","Alba",0,0,0
16,"Scărișoara Karst Complex.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
17,"Maidens' Fair on the Găina Mountain.","Alba, Romania","Attraction","Țara Moților (German: Motzenland), also known as Țara de Piatră (The Stone Land) is an ethnogeographical region of Romania in the Apuseni Mountains, on the upper basin of the Arieș and Crișul Alb River rivers. It covers parts of the Alba, Arad, Bihor, Cluj and Hunedoara counties of Romania and a section of it forms the Apuseni Natural Park.","Alba",0,0,0
18,"The Hill With Snails west of Vidra.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
19,"Barren Detunata and Shaggy Detunata (Detunatele)","Alba, Romania","Attraction","Detunatele is a site of columnar jointing in Transylvania, Alba County, Romania. Detunatele means lightning strike. The columns are hexagonal shaped basalt and 1,258 meters tall on two peaks: Detunata Goala and Detunata Flocoasa (Barren Detunata and Shaggy Detunata). They are located in the Metaliferi Mountains and are a tourist attraction. They are 1.5 km apart. They formations are shaped like humps and there are stories and legends associated with them.[1]","Alba",0,0,0
20,"The Câlnic Castle and the Castle of Gârbova.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
21,"The Towns and Churches of Sebeș and Aiud.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
22,"Ocna Mureș","Alba","City, Town or Village","Ocna Mureș (Romanian pronunciation: [ˌokna ˈmureʃ]; Latin: Salinae, Hungarian: Marosújvár, German: Miereschhall) is a town in Alba County, Romania, located in the north-eastern corner of the county, near the Mureș River, with a population of 15,503 inhabitants as of 2002. The town is situated next to a large deposit of salt, mined in the past until the ceiling of the mines collapsed from water infiltration in 1978. Ocna Mureș has a chlorosodic products plant,a salt extraction plant and a spa which uses the salty water from the former mines.","Alba",46.39008,23.85822,0
23,"Primăria Ocna Mureş","Strada Nicolae Iorga 515700 Ocna Mureș","Government or Community Facility","Respectul pentru ceea ce facem, discreţia şi profesionalismul cu care abordăm fiecare situaţie în parte, ne recomandă. Apelaţi-ne cu încredere.","Alba",46.38242,23.85951,0
24,"Strada Ocna Mureș","012942 Bucharest","Street or Square","Tâmplărie pvc, aluminiu profile de top. uşi de interior, metalice de garaj. Duration varies ? 50-10.000 accesorii pvc, feronerie, broaşte, jaluzele verticale, rulouri textile, calitate. livrare şi montaj... ","Alba",44.49315,26.03045,0
25,"Florăria Gaspol Ocna Mureș","Strada Nicolae Iorga 515700 Ocna Mureș","Recreation","The page Ocna mureş resort does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Alba",46.38204,23.85904,0
26,"Tamplarie Pvc Optimedia Ocna Mures","Strada Nicolae Iorga 515700 Ocna Mureș","DIY/garden centre","Alba County (Romanian pronunciation:[alba]) is a county (judeţ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",46.3809,23.85723,0
27,"The Ocna Mureș Resort.","Alba, Romania","Attraction","The page Ocna mureș resort does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Alba",46.005718,24.292890000000003,0
28,"The Țara Moților ethnographical area","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
29,"Rosia Montana Mining Cultural Landscape - Mining began 2000 years ago on Mt. Kirnik, with well-preserved Roman galleries. A Canadian company attempted an open-pit mine, but abandoned the project around 2007. Roșia Montană is a famous locality among mineral collectors for fine native gold specimens.[4][5]","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
30,"Profi City Arad Padis","Strada Lucian Blaga 2 Arad","Shop","Str. Steagului, Nr. 62A, jud. Arad","Arad",46.17216,21.31549,0
31,"The city of Arad","Arad, Romania","Attraction","Arad (Romanian pronunciation: [aˈrad] (listen); Hungarian: Arad; Serbian: Арад/Arad) is the capital city of Arad County, historically situated in the region of Crișana, and having extended into the neighboring Banat region in the 20th century.[2] Arad is the third largest city in Western Romania, behind Timișoara and Oradea, and the 12th largest in Romania, with a population of 159,704.","Arad",46.17216,21.31549,0
32,"The Mureș Natural Floodplain Park","Arad, Romania","Attraction","The Mureș Floodplain Natural Park, set aside by the Romanian government in 2005, is located in western Romania outside the city of Arad. The park covers 17,455 ha and follows the Mureş River westward from the city of Arad to the Hungarian border. The park is a typical ecosystem for wetlands, with running waters, lakes, swamps and floodplains, with forests, an important place for the passage and nesting of bird species and is subjected to periodical floods (a flood every three years). The forests (7,500 ha) in the park are made up primarily of common oak, narrow-leafed ash, black and white poplar, white willow, and American black walnut. This area is an important place for nesting and passage for nearly 200 species of birds, most of which are strictly protected internationally.","Arad",0,0,0
33,"Bezdin Monastery","Arad, Romania","Attraction","The page Bezdin monastery does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Arad",0,0,0
34,"Hodoș-Bodrog Monastery (est. 1177)","Arad, Romania","Attraction","Arad County (Romanian pronunciation: [aˈrad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crișana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube–Criș–Mureș–Tisa Euroregion.","Arad",0,0,0
35,"Lipova resort and city","Arad, Romania","Attraction","The page Lipova resort and city does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Arad",0,0,0
36,"Șoimoș, Dezna, Șiria stone citadels","Arad, Romania","Attraction","Arad County (Romanian pronunciation: [aˈrad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crișana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube–Criș–Mureș–Tisa Euroregion.","Arad",0,0,0
37,"Montana Resort","Strada Principală 427007 Bistrița Bârgăului","Hotel","Arad County (Romanian pronunciation: [arad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crişana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube-Criş-Mureş-Tisa Euroregion.","Arad",47.17653,24.90279,0
38,"Moneasa resort","Arad, Romania","Attraction","Moneasa (Hungarian: Menyháza) is a commune in Arad County, Romania, is situated at the foot of Codru-Moma Mountains. Its administrative surface stretches over 6824 hectares and it is composed of two villages, Moneasa (situated at 102 km from Arad) and Rănușa (Kisróna).","Arad",47.17653,24.90279,0
39,"The areas around Săvârșin, Petriș, Macea and Pecica.","Arad, Romania","Attraction","Arad County (Romanian pronunciation: [aˈrad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crișana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube–Criș–Mureș–Tisa Euroregion.","Arad",0,0,0
40,"Jupiter City","117140 Bradu","Shopping Centre","N/A","Argeș",44.81902,24.94081,0
41,"Cinema City Pitesti","Pitești","Cinema","N/A","Argeș",44.8668,24.88346,0
42,"Cinema City Romania","Pitești","Cinema","Din data de 23 februarie 2009, la nivelul O.C.P.I. Argeş s-a implementat sistemul integrat de Cadastru şi Publicitate Imobiliară e-Terra","Argeș",44.86641,24.88391,0
43,"City Pharma","Aleea Spitalului Pitești","Chemist's","N/A","Argeș",44.87184,24.84664,0
44,"Oficiul de Cadastru și Publicitate Imobiliară Argeș","Pitești","Government or Community Facility","N/A","Argeș",44.85444,24.87864,0
45,"Vivo!","Pitești","Shopping Centre","N/A","Argeș",44.866391,24.883932,0
46,"City Red Bistro","Strada Victoriei 28 110017 Pitești","Restaurant","Gara a fost inaugurat? pe 13 septembrie 1872, în acelaşi timp cu darea în folosinţă a liniei de cale ferată Piteşti-Chitila-Bucureşti. Această clădire este ultimul supravieţuitor al seriei de clădiri construite în 1872 de consorţiul prusac al antreprenorului Bethel Henry Strousberg pentru căile ferate române. Gara veche a fost demolată iar in locul acesteia s-a construit o gara modernă. Noua gar? finalizat? ?n anul 2016 este o cladire par?ial suspendat?, ?ntinz?ndu-se peste liniile de cale ferat?, astfel ?ncat peroanele se afl? sub cl?dire, iar trenurile opresc sub aceasta. Aceasta are peste 1.000 de metri p?tra?i ?i dou? etaje. Gara are ?i un minimall ?n sala de a?teptare, cu multe magazine, sc?ri rulante ?i lifturi cu o capacitate de 15 persoane care ?i duc pe c?l?tori pe peroane. ?n apropiere vor fi amenajate spa?ii de parcare. Cl?direa include, la nivelul etajului ?ntai, un pasaj care face leg?tura ?ntre cartierul Tudor Vladimirescu ?i gar?.","Argeș",44.85903,24.86895,0
47,"McDonald's Pitesti","Strada Victoriei 12 110017 Pitești","Snacks/Fast food","N/A","Argeș",44.85694,24.87332,0
48,"Gara Pitești","Bulevardul Republicii Pitești","Railway Station","N/A","Argeș",44.84707,24.88735,0
49,"Vama Pitești","Bulevardul Petrochimiștilor Pitești","Government or Community Facility","N/A","Argeș",44.82683,24.91352,0
50,"smart Academy Of Languages","Bulevardul Republicii 110062 Pitești","Educational Facility","N/A","Argeș",44.86228,24.8652,0
51,"International Relations, University of Pitesti","Strada Târgul din Vale 110040 Pitești","Educational Facility","Piteşti (Romanian pronunciation: [pitesti]) is a city in Romania, located on the Argeş River. The capital and largest city of Argeş County, it is an important commercial and industrial center, as well as the home of two universities. Pite?ti is situated in the historical region of Muntenia. It lies on the A1 freeway connecting the city directly to the national capital Bucharest, being an important railway junction, with a classification yard in nearby B?lile?ti. The city houses the Arpechim oil refinery, and is a marketing center for the automotive industry, in particular Automobile Dacia.","Argeș",44.854275,24.881357,0
52,"Autogara Astra Pitești","Strada Târgul din Vale Pitești","Public Transport","Curtea de Arge? (Romanian pronunciation:?[?kurte?a de ?ard??e?] (listen)) is a city in Romania on the left bank of the Argeş River, where it flows through a valley of the lower Carpathians (the F?g?ra? Mountains), on the railway from Pite?ti to the Turnu Ro?u Pass. It is part of Arge? County. The city also administers one village, Noapte?.","Argeș",44.85217,24.88474,0
53,"The city of Pitești","Argeș, Romania","Attraction","Pitești (Romanian pronunciation: [piˈteʃtʲ]) is a city in Romania, located on the Argeș River. The capital and largest city of Argeș County, it is an important commercial and industrial center, as well as the home of two universities. Pitești is situated in the historical region of Muntenia. It lies on the A1 freeway connecting the city directly to the national capital Bucharest, being an important railway junction, with a classification yard in nearby Bălilești. The city houses the Arpechim oil refinery, and is a marketing center for the automotive industry, in particular Automobile Dacia.","Argeș",44.85411507692307,24.88398684615385,0
54,"The city of Curtea de Argeș, where one of the most well known monasteries in Romania is located","Argeș, Romania","Attraction","Curtea de Argeș (Romanian pronunciation: [ˌkurte̯a de ˈard͡ʒeʃ] (listen)) is a city in Romania on the left bank of the Argeş River, where it flows through a valley of the lower Carpathians (the Făgăraș Mountains), on the railway from Pitești to the Turnu Roșu Pass. It is part of Argeș County. The city also administers one village, Noapteș.","Argeș",0,0,0
55,"The Câmpulung – Rucăr area","Argeș, Romania","Attraction","The Leaota Mountains are located in central Romania, north of the city T?rgovi?te. They are part of the Southern Carpathians group of the Carpathian Mountains, and have as neighbours the Bucegi Mountains to the east and Piatra Craiului to the west.","Argeș",0,0,0
56,"The Făgăraș Mountains – the Transfăgărășan","Argeș, Romania","Attraction","The page Făgăraș mountains – transfăgărășan does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Argeș",0,0,0
57,"The Leaota Mountains","Argeș, Romania","Attraction","The Leaota Mountains are located in central Romania, north of the city Târgovişte. They are part of the Southern Carpathians group of the Carpathian Mountains, and have as neighbours the Bucegi Mountains to the east and Piatra Craiului to the west.","Argeș",0,0,0
58,"Poienari Castle","Transfăgărășan 117040 Arefu","Sights & Museums","Coordinates: 45°21′13.49″N 24°38′6.80″E﻿ / ﻿45.3537472°N 24.6352222°E","Argeș",45.354977,24.634423,0
59,"The Poienari Castle","Argeș, Romania","Attraction","Coordinates: 45°21′13.49″N 24°38′6.80″E","Argeș",45.354977,24.634423,0
60,"Comana Monastery","Strada Radu Șerban 087055 Comana","Religious Place","Comana Monastery (Romanian: Mănăstirea Comana) is a Romanian Orthodox monastery in Comana, Giurgiu County, Romania.","Argeș",44.174719,26.144498,0
61,"The Cotmeana monastery.","Argeș, Romania","Attraction","The page Cotmeana monastery does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Argeș",44.174719,26.144498,0
62,"The cities of Bacău and Onești.","Bacău, Romania","Attraction","Onești (Romanian pronunciation: [oˈneʃtʲ]; Hungarian: Ónfalva) is a city in Bacău County, Romania, with a population of 39,172 inhabitants. It is situated in the historical region of Western Moldavia.","Bacău",0,0,0
63,"Coresi Shopping Resort","Strada Zaharia Stancu 1 Brașov","Shopping Centre","COOKIES","Bacău",45.67195,25.61633,0
64,"Cheile Gradistei Fundata","Fundata","Hotel","Balvanyos Resort is an oasis of tranquility with clear air, surrounded by the mountains and forests of Lake Saint Ana. The lake is located on DN 11C between the Tusnad Baths and Targu Secuiesc. The Resort offers the ideal conditions for an unforgettable vacation. The refined decour, the quality of its facilities and the hospitality of its personnel will make sure you enjoy every moment of your time here.","Bacău",45.4515,25.2997,0
65,"Cheile Gradistei","507131 Moieciu","Hotel","Situated in a Romanian village, Mistral Resort has modern accommodation with en suite bathrooms. Free parking is available. Set in a minimalist d?cor, each room has cable TV and bathroom amenities.","Bacău",45.46372,25.30413,0
66,"Grand Hotel Balvanyos (Balvanyos Resort)","DJ113 527160 Turia","Hotel","A resort (North American English) is a self-contained commercial establishment that tries to provide most of a vacationer's wants, such as food, drink, lodging, sports, entertainment, and shopping, on the premises. The term resort may be used for a hotel property that provides an array of amenities, typically including entertainment and recreational activities. A hotel is frequently a central feature of a resort, such as the Grand Hotel at Mackinac Island, Michigan. Some resorts are also condominium complexes that are timeshares or owed fractionally or wholly owned condominium. A resort is not always a commercial establishment operated by a single company, but in the late 20th century, that sort of facility became more common.","Bacău",46.11676,25.9423,0
67,"Mistral Resort Moieciu","Strada Valea Băngăleasa 507134 Moieciu","Accommodation","Sl?nic-Moldova (in the past Sl?nic and Sl?nic in Hungarian Szlanikf?rda) is a city in Bacau County, Moldova, Romania, consisting of the localities Cerdac, Ciresoaia and Slanic-Moldova (residence).","Bacău",45.42302,25.36299,0
68,"The resorts:","Bacău, Romania","Attraction","A resort (North American English) is a self-contained commercial establishment that tries to provide most of a vacationer's wants, such as food, drink, lodging, sports, entertainment, and shopping, on the premises. The term resort may be used for a hotel property that provides an array of amenities, typically including entertainment and recreational activities. A hotel is frequently a central feature of a resort, such as the Grand Hotel at Mackinac Island, Michigan. Some resorts are also condominium complexes that are timeshares or owed fractionally or wholly owned condominium. A resort is not always a commercial establishment operated by a single company, but in the late 20th century, that sort of facility became more common.","Bacău",45.62539,25.505090000000003,0
69,"Slănic-Moldova","Bacau","City, Town or Village","N/A","Bacău",46.22225,26.46807,0
70,"Primăria Slănic Moldova","Strada Vasile Alecsandri 605500 Slănic-Moldova","Government or Community Facility","N/A","Bacău",46.20864,26.43977,0
71,"Parcul Din Slanic Moldova","Strada Primăverii 605500 Slănic-Moldova","Recreation","Coordinates: 47N 29E","Bacău",46.22304,26.47676,0
72,"Casa Andra- Slănic Moldova","Strada Nicolae Bălcescu 605500 Slănic-Moldova","Hotel","N/A","Bacău",46.22023,26.45535,0
73,"Moldova","Moldova","Administrative Region","Coordinates: 47°N 29°E","Bacău",47.0246,28.83243,0
74,"Sanatoriul Balnear Slănic Moldova","605500 Slănic-Moldova","Hospital or Healthcare Facility","N/A","Bacău",46.20734,26.43926,0
75,"Oficiul Poștal Slănic Moldova","Strada Ștefan cel Mare 605500 Slănic-Moldova","Post Office","Hotel Venus ** este situat in centrul staitiunii Slanic Moldova, pe Strada Mihai Eminescu numarul 1, in apropierea primelor izvoare minerale din statiune. In Slanic Moldova se poate ajunge, din Targu Ocna, pe DN12B, aproximativ 18 km. Cu trenul se merge pana la Saline hcs, de unde exista autobuze pana la Slanic Moldova. Hotelul Venus a fost renovat in anul 2010 prin refacerea instalatiei termice, reparatii de zidurie si zugraveala, mochetarea holurilor, modernizarea receptiei si a holului de la receptie, amenajarea unui spatiu pentru bagajele turistilor, schimbarea cu termopan a tamplariei existente la toate camerele, amenajare sala de fitness, modernizarea spatiilor destinate masajului, a fost data in folosinta sauna, montarea unui jacuzzi modern, reintroducerea in circuit a salii de club pentru distractie si agrement, redeschiderea terasei de vara. Hotelul Venus dispune de 10 etaje si 450 de locuri de cazare, imparatite in 195 de camere duble twin, 9 semi-apartamente si 8 apartamente. Camerele duble sunt dotate cu balcon (cele cu vedere spre fata hotelului), 2 paturi twin, televizor, telefon si baie proprie. Apartamentele sunt formate din hol, living, dormitor si baie proprie, dispun de pat matrimonial in dormitor si canapea extensibila in living si au 2 televizoare. Hotelul Venus dispune de parcare proprie gratuita cu o capacitate de 40 de locuri, lift, masaj, sauna, teren de sport, biliard, seif la receptie, terasa si gradina de vara. ","Bacău",46.21183,26.44275,0
76,"Păstrăvaria Slănic Moldova","DJ116A 605500 Slănic-Moldova","Restaurant","Slanic (Romanian pronunciation:[slanik]) is one of the 14 towns of Prahova County, Romania, historically and currently known as a salt extraction center, as well as a spa town, with salt lakes. Two villages, Grosani and Prajani, are administered by the town.","Bacău",46.20177,26.42657,0
77,"Slanic Moldova - Hotel Venus","Strada Mihai Eminescu 605500 Slănic-Moldova","Hotel","Slanic (Romanian pronunciation:[slnik]) is one of the 14 towns of Prahova County, Romania, historically and currently known as a salt extraction center, as well as a spa town, with salt lakes. Two villages, Grosani and Prajani, are administered by the town.","Bacău",46.20585,26.43434,0
78,"Slănic","Strada Nicolae Bălcescu 605500 Slănic-Moldova (Slanic-Moldova)","Restaurant","Slănic (Romanian pronunciation: [sləˈnik]) is one of the 14 towns of Prahova County, Romania, historically and currently known as a salt extraction center, as well as a spa town, with salt lakes. Two villages, Groșani and Prăjani, are administered by the town.","Bacău",46.20654,26.43821,0
79,"Slănic","Prahova","City, Town or Village","Slănic (Romanian pronunciation: [sləˈnik]) is one of the 14 towns of Prahova County, Romania, historically and currently known as a salt extraction center, as well as a spa town, with salt lakes. Two villages, Groșani and Prăjani, are administered by the town.","Bacău",45.23544,25.94011,0
80,"Slănic","Aninoasa","Administrative Region","Slănic (Romanian pronunciation: [sləˈnik]) is one of the 14 towns of Prahova County, Romania, historically and currently known as a salt extraction center, as well as a spa town, with salt lakes. Two villages, Groșani and Prăjani, are administered by the town.","Bacău",45.23068,24.8925,0
81,"Mănăstirea Slănic","Slănic-Moldova","Religious Place","Slsnic mine is an old salt mine, located in Slsnic, Prahova County, Romania, just 100 km north of Bucharest. The salt mine is closed for extraction purposes, but is open for visitors, featuring a microclimate with natural air-conditioning and constant temperature and atmospheric pressure throughout the year. It is made up of two levels, named Unirea and Mihai. Many of the visitors come for its supposed healing effects due to the purity of the air. Throughout the mine you will find various types of equipment for recreational activity such as playground equipment and some ping-pong tables. One area is sectioned off and is being used for medical patients with lung cancer to come and rest. The main elevator shaft is unique in that it has no metallic parts due to rust. After an elevator accident in 2014, minivans are used to spiral visitors up and down.[citation needed]","Bacău",46.22326,26.52513,0
82,"Moldova Nouă","Caraș-Severin","City, Town or Village","N/A","Bacău",44.7347,21.66559,0
83,"Salina Slănic Prahova","237303 Slănic","Sights & Museums","Slanic Moldova is a town and a spa resort in Bacsu County, Romania. The town administers two villages, Cerdac and Ciresoaia.","Bacău",45.2359,25.94163,0
84,"Restaurant Laporta Slanic","Strada Nicolae Bălcescu 605500 Slănic-Moldova","Restaurant","Porumbacu de Jos (German: Unter-Bornbach; Hungarian: Alsoporumbak) is a commune in Sibiu County, Transylvania, central Romania, first documented in 1473. It is composed of five villages: Colun, Porumbacu de Jos, Porumbacu de Sus, Sarata and Scoreiu.","Bacău",46.206352,26.438081,0
